Tipo;Descripcion;Habitaciones;Baños;Área;Barrio;UPZ;Zona;Valor
Apartamento;Apartamento en venta en Barrios Unidos;3;2;60;Barrios Unidos;Los Andes;Los Andes;$ 252.000.000
Apartamento;Apartamento en venta en Barrios Unidos;3;3;82;Barrios Unidos;Los Andes;Los Andes;$ 252.000.000
Finca;Finca en venta en Barrios Unidos;6;6;1596;Barrios Unidos;Los Andes;Los Andes;$ 939.275.008
Apartamento;Apartamento en venta en Barrios Unidos;1;1;53;Barrios Unidos;Los Andes;Los Andes;$ 435.000.000
Apartamento;Apartamento en venta en Kennedy;3;2;61;Kennedy;Kennedy Central;Kennedy Central;$ 240.000.000
Apartamento;Apartamento en venta en Fontibon;1;2;44;Fontibon;Fontibon;Fontibon;$ 260.000.000
Apartamento;Apartamento en venta en Barrios Unidos;3;2;52;Barrios Unidos;Los Andes;Los Andes;$ 125.000.000
Apartamento;Apartamento en venta en Barrios Unidos;3;2;54;Barrios Unidos;Los Andes;Los Andes;$ 230.000.000
Apartamento;Apartamento en venta en Barrios Unidos;3;1;47;Barrios Unidos;Los Andes;Los Andes;$ 102.000.000
Casa;Casa en venta en Barrios Unidos;3;2;102;Barrios Unidos;Los Andes;Los Andes;$ 550.000.000
Apartamento;Apartamento en venta en Barrios Unidos;3;2;84;Barrios Unidos;Los Andes;Los Andes;$ 265.700.000
Apartamento;Apartamento en venta en Barrios Unidos;2;2;74;Barrios Unidos;Los Andes;Los Andes;$ 474.000.000
Apartamento;Apartamento en venta en Barrios Unidos;3;2;61;Barrios Unidos;Los Andes;Los Andes;$ 215.000.000
Apartamento;Apartamento en venta en Barrios Unidos;3;2;64;Barrios Unidos;Los Andes;Los Andes;$ 176.000.000
Apartamento;Apartamento en venta en Barrios Unidos;2;1;44;Barrios Unidos;Los Andes;Los Andes;$ 144.000.000
Apartamento;Apartamento en venta en Barrios Unidos;3;1;45;Barrios Unidos;Los Andes;Los Andes;$ 170.000.000
Casa;Casa en venta en Suba;3;2;117;Suba;Suba;Suba;$ 500.000.000
Apartamento;Apartamento en venta en Barrios Unidos;3;2;61;Barrios Unidos;Los Andes;Los Andes;$ 215.000.000
Apartamento;Apartamento en venta en Barrios Unidos;3;2;64;Barrios Unidos;Los Andes;Los Andes;$ 176.000.000
Apartamento;Apartamento en venta en Barrios Unidos;2;1;44;Barrios Unidos;Los Andes;Los Andes;$ 144.000.000
Apartamento;Apartamento en venta en Barrios Unidos;3;1;45;Barrios Unidos;Los Andes;Los Andes;$ 170.000.000
Casa;Casa en venta en Suba;3;2;117;Suba;Suba;Suba;$ 500.000.000
Apartamento;Apartamento en venta en Barrios Unidos;2;2;60;Barrios Unidos;Los Andes;Los Andes;$ 232.000.000
Apartamento;Apartamento en venta en Barrios Unidos;3;2;101;Barrios Unidos;Los Andes;Los Andes;$ 420.500.000
Apartamento;Apartamento en venta en Barrios Unidos;3;2;93;Barrios Unidos;Los Andes;Los Andes;$ 409.500.000
Casa;Casa en venta en Engativa;4;3;147;Engativa;Engativa;Engativa;$ 480.000.000
Apartamento;Apartamento en venta en Chapinero;3;2;76;Chapinero;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 315.000.000
Casa;Casa en venta en Niza;3;3;228;Niza;Niza;Niza;$ 990.000.000
Apartamento;Apartamento en venta en Chico Norte;2;3;81;Chico Norte;CHAPINERO: Chico Lago + El Refugio;CHAPINERO;$ 670.000.000
